,image_path,image_name,subject_name,mask_path
0,train/1_1.tif,1,1,train/1_1_mask.tif
1,train/10_1.tif,1,10,train/10_1_mask.tif
2,train/11_1.tif,1,11,train/11_1_mask.tif
3,train/12_1.tif,1,12,train/12_1_mask.tif
4,train/13_1.tif,1,13,train/13_1_mask.tif
5,train/14_1.tif,1,14,train/14_1_mask.tif
6,train/15_1.tif,1,15,train/15_1_mask.tif
7,train/16_1.tif,1,16,train/16_1_mask.tif
8,train/17_1.tif,1,17,train/17_1_mask.tif
9,train/18_1.tif,1,18,train/18_1_mask.tif
10,train/19_1.tif,1,19,train/19_1_mask.tif
11,train/2_1.tif,1,2,train/2_1_mask.tif
12,train/20_1.tif,1,20,train/20_1_mask.tif
13,train/21_1.tif,1,21,train/21_1_mask.tif
14,train/22_1.tif,1,22,train/22_1_mask.tif
15,train/23_1.tif,1,23,train/23_1_mask.tif
16,train/24_1.tif,1,24,train/24_1_mask.tif
17,train/25_1.tif,1,25,train/25_1_mask.tif
18,train/26_1.tif,1,26,train/26_1_mask.tif
19,train/27_1.tif,1,27,train/27_1_mask.tif
20,train/28_1.tif,1,28,train/28_1_mask.tif
21,train/29_1.tif,1,29,train/29_1_mask.tif
22,train/3_1.tif,1,3,train/3_1_mask.tif
23,train/30_1.tif,1,30,train/30_1_mask.tif
24,train/31_1.tif,1,31,train/31_1_mask.tif
25,train/32_1.tif,1,32,train/32_1_mask.tif
26,train/33_1.tif,1,33,train/33_1_mask.tif
27,train/34_1.tif,1,34,train/34_1_mask.tif
28,train/35_1.tif,1,35,train/35_1_mask.tif
29,train/36_1.tif,1,36,train/36_1_mask.tif
30,train/37_1.tif,1,37,train/37_1_mask.tif
31,train/38_1.tif,1,38,train/38_1_mask.tif
32,train/39_1.tif,1,39,train/39_1_mask.tif
33,train/4_1.tif,1,4,train/4_1_mask.tif
34,train/40_1.tif,1,40,train/40_1_mask.tif
35,train/41_1.tif,1,41,train/41_1_mask.tif
36,train/42_1.tif,1,42,train/42_1_mask.tif
37,train/43_1.tif,1,43,train/43_1_mask.tif
38,train/44_1.tif,1,44,train/44_1_mask.tif
39,train/45_1.tif,1,45,train/45_1_mask.tif
40,train/46_1.tif,1,46,train/46_1_mask.tif
41,train/47_1.tif,1,47,train/47_1_mask.tif
42,train/5_1.tif,1,5,train/5_1_mask.tif
43,train/6_1.tif,1,6,train/6_1_mask.tif
44,train/7_1.tif,1,7,train/7_1_mask.tif
45,train/8_1.tif,1,8,train/8_1_mask.tif
